FileName,Genre,W,H,# frames,FPS,Length (s),,BB available?,Portrait?,,Train 1?,Test 1?,,Train 2?,Test 2?,,Train 3?,Test 3?,
21027___ce39a313fc594ac095bf27e52bdaf827.mp4,archery,270,480,411,30,13.70,,0,1,,0,1,,0,1,,0,1,
21236___8fb692726e5e4021a8dd0577d6ae99a0.mp4,archery,270,480,224,30,7.47,,0,1,,1,0,,1,0,,0,1,
21900___5d9d631e95f6483681b52cde517e2ac3.mp4,archery,360,480,122,30,4.07,,0,1,,0,1,,1,0,,1,0,
2212___38162b8c66094052a6c1b9ad30d5778d.mp4,archery,270,480,284,30,9.47,,0,1,,1,0,,0,1,,0,1,
2215___c5f2bfb595e342fca5a2935cdd25e575.mp4,archery,270,480,364,30,12.13,,0,1,,1,0,,1,0,,0,1,
22197___f7fb1f23cdce4a11baa7f0ebdd84789c.mp4,archery,480,360,145,30,4.83,,0,0,,1,0,,1,0,,1,0,
2223___d508e505341c43aaaf00eb61d836bf98.mp4,archery,272,480,814,30,27.13,,1,1,,1,0,,1,0,,1,0,
22277___57e21e43c2dd4f219c61906756c1ea3d.mp4,archery,360,480,95,30,3.17,,1,1,,1,0,,0,1,,0,1,
2251___c9b954f3f4a6438a97c7b3eb00583b0c.mp4,archery,360,480,312,30,10.40,,0,1,,1,0,,1,0,,1,0,
22562___e41814319cc44fa99cd28ba818fe9d18.mp4,archery,480,360,302,30,10.07,,0,0,,1,0,,1,0,,1,0,
22682___536cfdf15ada405a828d7d8768080b39.mp4,archery,480,270,338,30,11.27,,0,0,,0,1,,1,0,,1,0,
22917___f11fb5c4cdaf401d9c07cac195339798.mp4,archery,480,270,387,30,12.90,,0,0,,0,1,,0,1,,0,1,
23249___3692de449b4742269d42f7fdfcb8cd3e.mp4,archery,270,480,375,30,12.50,,0,1,,0,1,,1,0,,1,0,
23565___3032c001adf744c5b23274465eb5c78c.mp4,archery,270,480,243,30,8.10,,1,1,,1,0,,1,0,,1,0,
235___ac6a72dc95e64a1da239285b073985b8.mp4,archery,480,270,366,30,12.20,,0,0,,0,1,,0,1,,0,1,
24300___2606a5f32aa74e4fae860162e33da191.mp4,archery,480,360,95,30,3.17,,1,0,,1,0,,1,0,,1,0,
24637___8fd35f4b15eb4db08c67711a43527bf5.mp4,archery,270,480,255,30,8.50,,0,1,,0,1,,0,1,,0,1,
2541___1e455f8ac588447ab29c90ab225eaef7.mp4,archery,270,480,349,30,11.63,,0,1,,0,1,,0,1,,1,0,
25509___543e978797da41489e75c02ae3eba840.mp4,archery,480,270,298,30,9.93,,0,0,,1,0,,1,0,,1,0,
25750___15e5d80c29634e67a84730ac48031ee5.mp4,archery,480,270,317,30,10.57,,0,0,,0,1,,1,0,,1,0,
25758___f898d5f97dbd48d89d5d99ff2c5077e3.mp4,archery,270,480,322,30,10.73,,0,1,,1,0,,1,0,,0,1,
25888___c633c455c7be4afe84e6bb5e12ff7add.mp4,archery,270,480,163,30,5.43,,1,1,,1,0,,0,1,,1,0,
26098___62fc553e17714a8a8e500db0ac5446af.mp4,archery,270,480,175,30,5.83,,1,1,,0,1,,1,0,,1,0,
26225___5e6957dd7589412984277282afbd8bc1.mp4,archery,480,270,158,30,5.27,,1,0,,1,0,,1,0,,0,1,
26448___af8628b4b30b4864866d7b967d31e064.mp4,archery,270,480,154,30,5.13,,1,1,,1,0,,1,0,,1,0,
2659___e9303b8e63374ee0b1f449e8c2e17687.mp4,archery,270,480,184,30,6.13,,1,1,,0,1,,1,0,,1,0,
26631___9312cb7c6c874531abb5e9d7ff42ca6e.mp4,archery,360,480,260,30,8.67,,0,1,,1,0,,0,1,,1,0,
27004___dc514286f51540d08a11d45dc071489a.mp4,archery,480,270,329,30,10.97,,0,0,,1,0,,1,0,,1,0,
27097___41bb05d0693243ee89e90742626c2292.mp4,archery,480,270,301,30,10.03,,0,0,,1,0,,0,1,,0,1,
27505___7e0dc999b52a47138ae0c35ed1fb6ef2.mp4,archery,480,270,413,30,13.77,,0,0,,0,1,,0,1,,1,0,
27805___1f7003f8db3d4e9c90e813c935997930.mp4,archery,480,270,480,30,16.00,,0,0,,0,1,,1,0,,1,0,
28135___f12c25e8508645168edbfeef7dfc52bc.mp4,archery,480,270,252,30,8.40,,0,0,,0,1,,1,0,,0,1,
28137___dcd3498f70e2463495985682f6e82f3b.mp4,archery,480,270,294,30,9.80,,0,0,,1,0,,1,0,,1,0,
2889___bd23c086bf144fe2ab4b7b5d1797db81.mp4,archery,480,360,184,30,6.13,,1,0,,1,0,,1,0,,1,0,
2945___d0bffbcb9c1f45d485e6d6b378e82582.mp4,archery,270,480,391,30,13.03,,0,1,,1,0,,0,1,,1,0,
298___dba56a1d93f84561927e5881edf0c670.mp4,archery,480,270,332,30,11.07,,0,0,,1,0,,1,0,,1,0,
3003___6159ac6555a24eefa689eac47cff59be.mp4,archery,480,270,471,30,15.70,,1,0,,0,1,,0,1,,0,1,
30372___2f22516805644840ba4988d5dedb2bba.mp4,archery,480,270,394,30,13.13,,0,0,,1,0,,1,0,,1,0,
3041___276d13c528974344aa8fa7d41eaac647.mp4,archery,270,480,192,30,6.40,,1,1,,1,0,,1,0,,1,0,
30783___b53cd2300e3e48fca9d9fb2a91698cda.mp4,archery,480,270,357,30,11.90,,0,0,,0,1,,1,0,,0,1,
30976___6d21cf24ab2d4a31b5d7b33b61b15c67.mp4,archery,480,270,724,30,24.13,,0,0,,1,0,,1,0,,1,0,
31221___93c9efd1408d451487cc52b249969fe6.mp4,archery,480,270,442,30,14.73,,0,0,,1,0,,1,0,,1,0,
3124___bf8832a0c8d64e0f9ef6b9dc6197e4a7.mp4,archery,480,270,280,30,9.33,,0,0,,0,1,,1,0,,1,0,
31260___18ef0f4d7f204ed7b39903e7e2685c32.mp4,archery,480,270,333,30,11.10,,0,0,,1,0,,1,0,,0,1,
31850___159ff37a65b848c99fedc14647daf488.mp4,archery,480,270,259,30,8.63,,0,0,,1,0,,1,0,,1,0,
31856___741a28dee7df43b4956e8fc361a18a10.mp4,archery,480,270,448,30,14.93,,0,0,,1,0,,1,0,,1,0,
31996___b20da0d8e470418bbc1ec9d3ad002598.mp4,archery,270,480,123,30,4.10,,0,1,,1,0,,1,0,,1,0,
3228___7f56ee459e384a3ea8b52cf8e062b21f.mp4,archery,360,480,556,30,18.53,,1,1,,1,0,,1,0,,1,0,
3272___6c3f273120504ab9b76d033096786034.mp4,archery,270,480,535,30,17.83,,1,1,,0,1,,0,1,,1,0,
3415___03a43d4f7f4249a699f717cf7d770377.mp4,archery,480,270,187,30,6.23,,1,0,,0,1,,1,0,,1,0,
40393___9a15722c987042688b2c45cdccef904c.mp4,archery,480,270,411,30,13.70,,0,0,,1,0,,0,1,,0,1,
40446___029ff8a2b86a4db1ab550794ab401d73.mp4,archery,480,360,591,30,19.70,,0,0,,1,0,,1,0,,1,0,
40489___6bf3f78504ca40edac69a8ffd64fcb07.mp4,archery,270,480,495,30,16.50,,0,1,,1,0,,0,1,,0,1,
41382___4cc3c4e0a91f476f85547f46a6210c2d.mp4,archery,480,270,150,30,5.00,,1,0,,0,1,,1,0,,0,1,
4148___409f20f1b9f043d8b82e002643ba4e27.mp4,archery,480,270,175,30,5.83,,1,0,,0,1,,1,0,,1,0,
41925___ca9fe59f45aa4059b7829c91040d76d3.mp4,archery,360,480,437,30,14.57,,0,1,,0,1,,1,0,,1,0,
41943___5477ab17a49e4f6691ebb6078b83b019.mp4,archery,270,480,278,30,9.27,,0,1,,1,0,,1,0,,1,0,
4196___26b9fde01d764211831cd7861d854a14.mp4,archery,360,480,323,30,10.77,,0,1,,1,0,,1,0,,0,1,
423___7cc0d4b318934106b8ab2b026b6aabce.mp4,archery,480,270,324,30,10.80,,0,0,,1,0,,0,1,,1,0,
42448___04d8d32dd23e4b9290486adcb4909db8.mp4,archery,360,480,338,30,11.27,,0,1,,0,1,,1,0,,1,0,
43290___9978b90cea3540cf999fb4569569028a.mp4,archery,480,270,357,30,11.90,,0,0,,1,0,,1,0,,1,0,
4351___4c3ed0901ed248819d08bd67f4b8f287.mp4,archery,480,270,285,30,9.50,,0,0,,1,0,,1,0,,1,0,
43624___996d7752cb9b420da0f49b6e040bdfe8.mp4,archery,270,480,48,30,1.60,,0,1,,0,1,,1,0,,0,1,
4499___3d32e09f34ff4b0397537035c79ba8b6.mp4,archery,270,480,423,30,14.10,,0,1,,1,0,,1,0,,1,0,
4558___575023565a0448f6b6daeda74e3d9976.mp4,archery,270,480,72,30,2.40,,0,1,,1,0,,1,0,,1,0,
4572___f70ece6af44c4de6b57df00a9fb63a9f.mp4,archery,480,270,185,30,6.17,,1,0,,1,0,,0,1,,0,1,
4671___24f1db27d3b14cfeb6297dc1bb1cbe69.mp4,archery,270,480,215,30,7.17,,1,1,,0,1,,0,1,,1,0,
46___cf3e328ce61448308b9e9ff3517b4aad.mp4,archery,480,270,275,30,9.17,,0,0,,1,0,,1,0,,1,0,
4802___a8ab94a32988443c8c0e4790152ff10f.mp4,archery,270,480,216,30,7.20,,1,1,,1,0,,0,1,,1,0,
4808___dde45485b45c40adb0972f22443a3f0d.mp4,archery,480,270,206,30,6.87,,1,0,,1,0,,1,0,,1,0,
4848___9aba378e414b41b8b9d2b5d6ea8feb6b.mp4,archery,480,270,374,30,12.47,,0,0,,1,0,,1,0,,1,0,
4918___95a7860a506345bfb5e68d6a072c6db5.mp4,archery,270,480,614,30,20.47,,1,1,,1,0,,1,0,,1,0,
4921___86acae6f4bb24ebca9ea9ac9348acac7.mp4,archery,270,480,409,30,13.63,,0,1,,1,0,,1,0,,0,1,
5076___dfd57d85942f4052afeb8fc832f626b7.mp4,archery,480,270,757,30,25.23,,1,0,,0,1,,0,1,,1,0,
5199___35775fa30e114cb084abfe691a53550d.mp4,archery,270,480,400,30,13.33,,0,1,,1,0,,1,0,,1,0,
5346___2de1678057af471daccec05c3d7a077c.mp4,archery,480,270,488,30,16.27,,1,0,,1,0,,0,1,,0,1,
5401___86d7d51bc891491ca80ce34e8755864a.mp4,archery,360,480,52,30,1.73,,1,1,,1,0,,1,0,,1,0,
5439___c57186fbb2d24b65b3662a06e8d73466.mp4,archery,480,270,690,30,23.00,,1,0,,1,0,,1,0,,0,1,
5567___5708a059d65345c38b2b41bac8362113.mp4,archery,270,480,168,30,5.60,,1,1,,1,0,,0,1,,1,0,
5643___a47487c4701b4df0a6f2a4c120a72cdc.mp4,archery,480,270,496,30,16.53,,1,0,,1,0,,1,0,,0,1,
5908___e954b0e99a9e4f42bc7380bae8a4306a.mp4,archery,480,270,478,30,15.93,,1,0,,1,0,,0,1,,1,0,
5942___03a5f3e2227a42289ad8826d175d698a.mp4,archery,480,270,312,30,10.40,,0,0,,1,0,,0,1,,1,0,
5962___9965210106d04acb9fff75c0ff6e556b.mp4,archery,480,270,545,30,18.17,,1,0,,1,0,,1,0,,1,0,
6140___9bc2cc90b13d4155a04c7bdd61df70c0.mp4,archery,270,480,115,30,3.83,,1,1,,1,0,,1,0,,0,1,
6215___e4bf1e1d47204bbf81f13c9765c314d3.mp4,archery,270,480,633,30,21.10,,1,1,,0,1,,1,0,,1,0,
6332___8da09aedccd04521b541d484e09f2578.mp4,archery,480,270,154,30,5.13,,1,0,,1,0,,1,0,,1,0,
6441___389840d4b97d4028a4646ae77afe5ff8.mp4,archery,480,270,495,30,16.50,,1,0,,1,0,,1,0,,1,0,
6692___3dcabc8bd5e144f9a53990e735b8980b.mp4,archery,480,270,361,30,12.03,,0,0,,0,1,,0,1,,0,1,
6696___992f4774500d49ada16a9be5641d0c52.mp4,archery,480,360,109,30,3.63,,1,0,,1,0,,1,0,,1,0,
6759___6ccd30c54c8c4403be8849a0c09dccd9.mp4,archery,270,480,464,30,15.47,,1,1,,1,0,,1,0,,0,1,
7041___a18fcde2625a49c9bf253c4ff4dbbcd9.mp4,archery,270,480,217,30,7.23,,1,1,,1,0,,1,0,,1,0,
7059___386fa5a6a12d40cab03901639f1ffc97.mp4,archery,480,270,288,30,9.60,,0,0,,1,0,,0,1,,1,0,
7237___ab04c0b8477e43288418e83228cd5190.mp4,archery,360,480,319,30,10.63,,0,1,,0,1,,0,1,,1,0,
7264___5005075d8c3b4e468f428975519ddaaa.mp4,archery,480,270,521,30,17.37,,1,0,,0,1,,1,0,,1,0,
7442___bd250d1ad35b43cf8c11b18162cc5c15.mp4,archery,360,480,742,30,24.73,,1,1,,1,0,,1,0,,1,0,
7556___d5a0a7a5ae844781954f4a23e1a05a26.mp4,archery,480,270,192,30,6.40,,1,0,,1,0,,1,0,,1,0,
7678___2ca495b2d7604f848dc921c42b6210cf.mp4,archery,480,270,257,30,8.57,,0,0,,1,0,,1,0,,1,0,
7815___17a8550b3957403ca35aedd71db2392f.mp4,archery,270,480,488,30,16.27,,1,1,,1,0,,1,0,,1,0,
7867___78714e2e94cf4b8197c003c8508af870.mp4,archery,480,270,301,30,10.03,,0,0,,1,0,,1,0,,0,1,
797___9540f546f3364c9499afe7accf091059.mp4,archery,480,270,352,30,11.73,,0,0,,0,1,,1,0,,1,0,
8443___270d53667553492db8e2b26a61e331f8.mp4,archery,480,270,286,30,9.53,,0,0,,1,0,,1,0,,1,0,
8972___86b9bead5bcc43b3abde372f5d9137fe.mp4,archery,480,270,377,30,12.57,,0,0,,0,1,,1,0,,1,0,
902___6960744c40a64bc58e7a270adccb80ed.mp4,archery,480,270,430,30,14.33,,0,0,,1,0,,1,0,,1,0,
9044___3e8b69ac597b4807ab16aa74bfad3f28.mp4,archery,480,270,563,30,18.77,,1,0,,1,0,,1,0,,0,1,
9079___428dece89d44461facf03ea44f35c4ba.mp4,archery,480,270,514,30,17.13,,0,0,,1,0,,0,1,,1,0,
9222___d712edcfa86a4986a14330ff011c9143.mp4,archery,480,270,214,30,7.13,,1,0,,0,1,,0,1,,1,0,
9288___41a9023b92dd4b79a7e3adbe3accc835.mp4,archery,480,270,316,30,10.53,,0,0,,1,0,,1,0,,1,0,
9390___ffa3d051848948afb9588d7cd85deab8.mp4,archery,480,270,166,30,5.53,,1,0,,1,0,,1,0,,1,0,
9550___92830edc50854e788105324c02975168.mp4,archery,360,480,919,30,30.63,,0,1,,1,0,,0,1,,1,0,
1006___0782c5e0a492407a8c250f933b5b86b6.mp4,baseball,270,480,897,30,29.90,,0,1,,0,1,,1,0,,1,0,
1031___768ac4dd639549d38838a1103bb81d51.mp4,baseball,480,270,486,30,16.20,,0,0,,1,0,,1,0,,1,0,
1092___ffbc359e04534e568514b7ec58e568a7.mp4,baseball,270,480,188,30,6.27,,1,1,,1,0,,1,0,,1,0,
1099___698b4b4bd16849f68e055c9b501847ff.mp4,baseball,480,270,140,30,4.67,,0,0,,1,0,,1,0,,0,1,
1111___7dc29273c6e4421883538b33b4f056bb.mp4,baseball,270,480,902,30,30.07,,0,1,,1,0,,1,0,,0,1,
1207___985f7ce49303477d93b2b1cc7f98b894.mp4,baseball,360,480,201,30,6.70,,1,1,,1,0,,1,0,,1,0,
1261___8332104211f94b6784dafa0ffad383df.mp4,baseball,480,270,506,30,16.87,,0,0,,1,0,,1,0,,1,0,
1265___266aac5e514340688711a5b8d4caf303.mp4,baseball,360,480,150,30,5.00,,1,1,,1,0,,0,1,,1,0,
1302___1712b53abeb5475d90a56273c4ce228d.mp4,baseball,480,270,323,30,10.77,,0,0,,1,0,,1,0,,1,0,
1307___884b1eed93294c788bdf0df94ef270c9.mp4,baseball,270,480,88,30,2.93,,1,1,,1,0,,1,0,,1,0,
1319___7f848fe657c64dddb503ab0492d494f9.mp4,baseball,480,360,213,30,7.10,,0,0,,0,1,,1,0,,1,0,
1338___161908111f804655b891fab83dfb6b83.mp4,baseball,480,270,597,30,19.90,,0,0,,1,0,,1,0,,1,0,
1361___11eaf770ed334cb9aa9b8f28515a8882.mp4,baseball,270,480,340,30,11.33,,0,1,,1,0,,1,0,,0,1,
136___a5ae4b2b86274243b593a3194e2ff6f9.mp4,baseball,270,480,87,30,2.90,,1,1,,0,1,,1,0,,1,0,
1399___ed35d4d4bfcb42dca6094b825ab15bff.mp4,baseball,270,480,279,30,9.30,,1,1,,1,0,,0,1,,1,0,
1428___088d10d336b145ef98da55b4b7e5fbf2.mp4,baseball,480,270,256,30,8.53,,1,0,,0,1,,1,0,,0,1,
1436___1f90955b1b944623a06819a29c93bd83.mp4,baseball,480,270,134,30,4.47,,0,0,,1,0,,0,1,,0,1,
1448___52effe67150f45cc9c7c26671001e0f6.mp4,baseball,480,270,514,30,17.13,,0,0,,0,1,,1,0,,1,0,
1449___a3531d97e6df42ae9072fc069567737e.mp4,baseball,270,480,643,30,21.43,,0,1,,1,0,,1,0,,1,0,
1464___dbe56e9398864ee693afd844cd5ae8b5.mp4,baseball,480,270,491,30,16.37,,0,0,,1,0,,0,1,,0,1,
1466___2288301e31b4476386be54518df588d6.mp4,baseball,360,480,504,30,16.80,,0,1,,1,0,,1,0,,0,1,
1484___85b514535abd412a845e883d34963270.mp4,baseball,270,480,159,30,5.30,,1,1,,0,1,,0,1,,0,1,
1536___bf68a45a7b5b491190eaded6cf13f27f.mp4,baseball,270,480,186,30,6.20,,0,1,,0,1,,1,0,,0,1,
155___d6b48e35ab284a028b70cfcea908507b.mp4,baseball,480,270,1654,30,55.13,,0,0,,1,0,,0,1,,0,1,
1572___82b9924873eb4ef2937d3378ce09fdc1.mp4,baseball,270,480,1034,30,34.47,,1,1,,0,1,,0,1,,1,0,
1579___d353d8149a12468cba36c59bf7e1b5c7.mp4,baseball,270,480,434,30,14.47,,0,1,,1,0,,1,0,,1,0,
159___46599ed4c8a743ceb9385afd5c0c1c2e.mp4,baseball,270,480,124,30,4.13,,1,1,,1,0,,1,0,,1,0,
1633___b19fc46c06744cc2837c18562a80ea20.mp4,baseball,270,480,414,30,13.80,,0,1,,1,0,,1,0,,1,0,
1646___f8de99a0807b4384bb33ba5e41d6c458.mp4,baseball,270,480,823,30,27.43,,0,1,,1,0,,1,0,,1,0,
1652___18389346ecd94c6b83bb722c7f5c120c.mp4,baseball,270,480,136,30,4.53,,1,1,,1,0,,0,1,,1,0,
1656___9b6e74e4ee49479d88984b6ebb48c914.mp4,baseball,270,480,429,30,14.30,,0,1,,1,0,,0,1,,1,0,
1659___ff228416d9ee4cc9b3d127bd2b3d0d00.mp4,baseball,270,480,375,30,12.50,,0,1,,1,0,,0,1,,1,0,
1669___b0187e6c9a5848fca09b32a3e0f224a0.mp4,baseball,360,480,633,30,21.10,,0,1,,0,1,,1,0,,1,0,
1681___9adc69b1d4ec431ebe3944fcbabb1048.mp4,baseball,270,480,313,30,10.43,,1,1,,1,0,,1,0,,1,0,
1693___ec7acb1f50f64082aae43420adf37dcc.mp4,baseball,480,270,1381,30,46.03,,0,0,,1,0,,1,0,,1,0,
1713___2455c50c451c4ed0b1fec5873ca8325a.mp4,baseball,480,270,813,30,27.10,,0,0,,0,1,,0,1,,1,0,
172___cb7ccb06c07747ceb1544970f20c561a.mp4,baseball,480,270,655,30,21.83,,0,0,,1,0,,1,0,,1,0,
1731___85fc45356fc84ac780e837c5b50803c2.mp4,baseball,480,270,855,30,28.50,,0,0,,1,0,,1,0,,1,0,
1752___618bcafb720d4fac854fabcc9c4fab8e.mp4,baseball,270,480,1538,30,51.27,,1,1,,1,0,,1,0,,1,0,
182___9a913d9346db4197b833d268b1557a1b.mp4,baseball,270,480,549,30,18.30,,1,1,,1,0,,0,1,,0,1,
1831___4faf4d92b8584866883cd860a24dcecc.mp4,baseball,480,270,236,30,7.87,,1,0,,1,0,,1,0,,1,0,
1845___18d04b6fb3844ead94c602ae47e131b6.mp4,baseball,480,276,212,30,7.07,,1,0,,1,0,,0,1,,1,0,
1855___92628fad3e3b45589d81ccaed06836a7.mp4,baseball,480,270,906,30,30.20,,0,0,,1,0,,1,0,,1,0,
1886___9477c965f76f45b5914b396b7f73e296.mp4,baseball,480,270,255,30,8.50,,0,0,,1,0,,1,0,,1,0,
1890___379b4237796047bc9c829db2798e108a.mp4,baseball,480,270,1770,30,59.00,,1,0,,1,0,,0,1,,1,0,
1901___784525f3767b49fe93410bf160e2701d.mp4,baseball,270,480,135,30,4.50,,1,1,,0,1,,1,0,,0,1,
1908___736ef5b7ecc44cd6859a1b49cf4c3c31.mp4,baseball,270,480,73,30,2.43,,1,1,,0,1,,1,0,,0,1,
1947___d7de881e78c64cd98e7486cd448ae0fe.mp4,baseball,270,480,325,30,10.83,,1,1,,1,0,,1,0,,1,0,
194___a1c0d5431ffa4de09a4425499eddccc3.mp4,baseball,360,480,81,30,2.70,,0,1,,1,0,,1,0,,1,0,
1956___a5379188e6714f948a4181c7de105024.mp4,baseball,480,270,1193,30,39.77,,1,0,,1,0,,0,1,,1,0,
1958___9785989a2a9c46659febb4359d2c5826.mp4,baseball,270,480,219,30,7.30,,1,1,,1,0,,1,0,,0,1,
1975___e8cb7ac78ec7489e8c4de96b9d0d3638.mp4,baseball,270,480,188,30,6.27,,0,1,,1,0,,1,0,,0,1,
1986___e22e49756f31404da9835c7e9d59860c.mp4,baseball,480,270,181,30,6.03,,1,0,,1,0,,0,1,,1,0,
1993___b350e305e076459dbc57319676425cf4.mp4,baseball,270,480,174,30,5.80,,1,1,,0,1,,0,1,,0,1,
2006___0efc167f3ab242709a995b109d1f2e3b.mp4,baseball,270,480,446,30,14.87,,0,1,,1,0,,1,0,,1,0,
2018___06dc075db7bb4193ae80d6f40542800b.mp4,baseball,270,480,1040,30,34.67,,1,1,,1,0,,0,1,,1,0,
2019___93372aec80fb45c5aabb46a671af4e47.mp4,baseball,270,480,1066,30,35.53,,1,1,,1,0,,1,0,,1,0,
2036___4951c226c199445ba8a464c2ecf92d89.mp4,baseball,270,480,247,30,8.23,,1,1,,1,0,,1,0,,1,0,
203___dba297f80b80471aae0d3af834d8d57e.mp4,baseball,480,270,436,30,14.53,,0,0,,0,1,,1,0,,1,0,
2040___a6b68264200e440389af782f94812219.mp4,baseball,270,480,461,30,15.37,,0,1,,1,0,,0,1,,1,0,
204___0397c8b4fc09459fa5ae76300e646420.mp4,baseball,480,270,666,30,22.20,,1,0,,1,0,,0,1,,0,1,
2094___bbba90343b124cf7ba6f0a092f92f972.mp4,baseball,270,480,1407,30,46.90,,1,1,,1,0,,1,0,,1,0,
2096___f5831cf13d6a416ab33f804cd2d49054.mp4,baseball,270,480,533,30,17.77,,0,1,,1,0,,1,0,,1,0,
2158___f2df294e81694b5a9f3d1d2644abf95c.mp4,baseball,270,480,167,30,5.57,,1,1,,0,1,,1,0,,1,0,
2165___361b49eefedb494d860a3884bd4abf90.mp4,baseball,270,480,514,30,17.13,,0,1,,0,1,,0,1,,1,0,
2167___c76b7de274f94f9daf61b559ca16a1b0.mp4,baseball,270,480,134,30,4.47,,1,1,,1,0,,1,0,,1,0,
2276___a0060391d1fb4defbb0570cd9ee7357d.mp4,baseball,270,480,987,30,32.90,,1,1,,1,0,,1,0,,1,0,
2288___08f4a0ffde1c4e7db0c4b770e1eeda44.mp4,baseball,270,480,928,30,30.93,,0,1,,1,0,,0,1,,1,0,
2316___40a6016ddf7e44ea846437ee85a2fe22.mp4,baseball,480,270,962,30,32.07,,0,0,,1,0,,1,0,,0,1,
2355___8a834a492dc44faa9ffdf654a81e10d5.mp4,baseball,270,480,112,30,3.73,,1,1,,1,0,,1,0,,1,0,
2363___e99e0dca5c264e20a3612d155f33f39a.mp4,baseball,270,480,256,30,8.53,,1,1,,1,0,,1,0,,1,0,
2367___98616e8ae60e4761981308f9fa28758f.mp4,baseball,480,270,399,30,13.30,,0,0,,1,0,,0,1,,0,1,
2377___54a58a20b92f4b7dba15fa56d1c14613.mp4,baseball,480,270,388,30,12.93,,0,0,,0,1,,1,0,,1,0,
2394___8d95596e409d49c3969e9117a4a16904.mp4,baseball,270,480,1152,30,38.40,,0,1,,1,0,,1,0,,0,1,
2404___3ed0e9d442c64733ada42485f76f6834.mp4,baseball,480,270,188,30,6.27,,0,0,,0,1,,0,1,,1,0,
2419___050a86ed48d64993bb19af081fdbff04.mp4,baseball,270,480,144,30,4.80,,1,1,,1,0,,1,0,,1,0,
2423___9845e29ab87745b082bfc50800996641.mp4,baseball,270,480,188,30,6.27,,1,1,,1,0,,1,0,,0,1,
2433___7d5102128d4a41459ddc64611cdeebf7.mp4,baseball,480,360,424,30,14.13,,0,0,,1,0,,1,0,,1,0,
2462___9ecf4c00b054488e97d6587597644afb.mp4,baseball,270,480,811,30,27.03,,0,1,,0,1,,0,1,,1,0,
2468___058f05b9bb324b29aeb16e69557f3303.mp4,baseball,480,270,177,30,5.90,,1,0,,0,1,,1,0,,1,0,
2538___48d402f5929b49e39ee2bc1ee93da5e3.mp4,baseball,480,270,274,30,9.13,,1,0,,0,1,,0,1,,0,1,
2595___bda63b3235644bdb9ad4e7bea8743328.mp4,baseball,480,270,867,30,28.90,,0,0,,0,1,,0,1,,1,0,
2602___ca1964aec29149239155360ac3ab7ac8.mp4,baseball,270,480,110,30,3.67,,1,1,,1,0,,1,0,,1,0,
2607___701d2c57afc8402dac28d111f9603815.mp4,baseball,480,270,616,30,20.53,,0,0,,0,1,,0,1,,1,0,
2650___3dd339693a70449da03c9a61c6a9c416.mp4,baseball,480,270,91,30,3.03,,0,0,,0,1,,1,0,,1,0,
